Date,Open,High,Low,Close,Adj Close,Volume
2019-02-12,85.830002,86.470001,85.779999,86.379997,82.207024,921800
2019-02-13,86.669998,86.849998,86.379997,86.680000,82.492538,189100
2019-02-14,86.129997,86.830002,86.129997,86.500000,82.321243,21600
2019-02-15,86.949997,87.370003,86.949997,87.370003,83.149216,6700
2019-02-19,87.410004,87.760002,87.410004,87.529999,83.301483,1800
2019-02-20,87.639999,87.870003,87.529999,87.720001,83.482307,17200
2019-02-21,87.470001,87.559998,87.129997,87.389999,83.168243,6000
2019-02-22,87.669998,88.010002,87.669998,88.010002,83.758301,28500
2019-02-25,88.540001,88.589996,88.000000,88.000000,83.748779,601100
2019-02-26,87.839996,88.029999,87.839996,87.849998,83.606018,214300
2019-02-27,87.680000,88.059998,87.519997,87.949997,83.701187,70700
2019-02-28,87.800003,88.000000,87.669998,87.750000,83.510857,53400
2019-03-01,88.459999,88.519997,87.959999,88.320000,84.053329,6600
2019-03-04,88.540001,88.540001,87.239998,87.800003,83.558441,15800
2019-03-05,87.910004,87.910004,87.529999,87.559998,83.330040,8900
2019-03-06,87.400002,87.400002,86.809998,86.820000,82.625793,10300
2019-03-07,86.050003,86.500000,85.900002,86.089996,81.931038,100600
2019-03-08,85.260002,85.870003,85.260002,85.870003,81.721687,6200
2019-03-11,86.639999,86.989998,86.639999,86.989998,82.787567,2200
2019-03-12,87.199997,87.510002,87.110001,87.370003,83.149216,967300
2019-03-13,87.620003,88.150002,87.620003,87.820000,83.577469,92200
2019-03-14,87.959999,87.959999,87.620003,87.680000,83.444229,1900
2019-03-15,87.930000,88.309998,87.910004,87.940002,83.691673,12200
2019-03-18,88.019997,88.449997,88.019997,88.349998,84.081879,9700
2019-03-19,88.629997,88.820000,87.949997,88.139999,83.882004,39600
2019-03-20,87.610001,87.980003,87.050003,87.410004,83.383102,10200
2019-03-21,87.230003,88.680000,87.230003,88.510002,84.432426,23100
2019-03-22,87.639999,87.809998,86.629997,86.650002,82.658134,11400
2019-03-25,86.370003,86.879997,86.220001,86.620003,82.629517,123700
2019-03-26,87.419998,87.419998,86.870003,87.349998,83.325867,4500
2019-03-27,87.529999,87.529999,86.559998,86.980003,82.972923,11700
2019-03-28,87.449997,87.480003,87.029999,87.480003,83.449883,3200
2019-03-29,87.769997,88.099998,87.769997,87.989998,83.936378,7000
2019-04-01,88.720001,89.180000,88.720001,89.150002,85.042946,11500
2019-04-02,89.199997,89.199997,88.879997,89.139999,85.033401,12400
2019-04-03,89.489998,89.750000,89.330002,89.459999,85.338669,9700
2019-04-04,89.599998,89.650002,89.239998,89.639999,85.510376,4700
2019-04-05,90.000000,90.250000,89.989998,90.250000,86.092278,8000
2019-04-08,89.970001,90.250000,89.860001,90.199997,86.044579,785500
2019-04-09,89.629997,89.809998,89.360001,89.510002,85.386360,6900
2019-04-10,89.739998,90.099998,89.620003,90.089996,85.939636,8900
2019-04-11,90.269997,90.330002,89.989998,90.250000,86.092278,52800
2019-04-12,90.879997,90.980003,90.669998,90.970001,86.779106,8200
2019-04-15,91.120003,91.169998,90.690002,90.769997,86.588310,4900
2019-04-16,90.980003,90.980003,90.610001,90.760002,86.578773,10400
2019-04-17,90.629997,90.660004,90.160004,90.160004,86.006424,6000
2019-04-18,90.160004,90.459999,90.120003,90.389999,86.225830,340800
2019-04-22,90.160004,90.269997,90.110001,90.269997,86.111336,8200
2019-04-23,90.529999,91.199997,90.529999,91.139999,86.941269,4500
2019-04-24,91.180000,91.309998,91.120003,91.120003,86.922211,3300
2019-04-25,90.529999,90.720001,90.239998,90.529999,86.359383,15500
2019-04-26,90.629997,91.070000,90.610001,91.070000,86.874504,3900
2019-04-29,91.059998,91.279999,91.059998,91.070000,86.874504,2400
2019-04-30,91.029999,91.349998,90.879997,91.349998,87.141594,3400
2019-05-01,91.449997,91.449997,90.449997,90.449997,86.283066,9400
2019-05-02,90.290001,90.410004,89.830002,90.370003,86.206749,5900
2019-05-03,90.820000,91.290001,90.820000,91.290001,87.084358,33400
2019-05-06,89.760002,90.949997,89.760002,90.820000,86.636024,23200
2019-05-07,89.739998,89.739998,88.680000,89.300003,85.186035,4600
2019-05-08,89.419998,89.660004,89.120003,89.209999,85.100189,80100
2019-05-09,88.480003,89.129997,87.870003,89.019997,84.918945,13600
2019-05-10,88.760002,89.389999,87.779999,89.389999,85.271912,21200
2019-05-13,87.470001,87.470001,86.769997,87.139999,83.125549,20100
2019-05-14,87.660004,88.370003,87.660004,87.989998,83.936378,173500
2019-05-15,87.379997,88.470001,87.379997,88.290001,84.222572,11600
2019-05-16,88.540001,89.339996,88.540001,88.989998,84.890320,4000
2019-05-17,88.510002,89.169998,88.370003,88.370003,84.298889,2600
2019-05-20,87.830002,87.980003,87.660004,87.779999,83.736069,2300
2019-05-21,88.160004,88.889999,88.160004,88.739998,84.651833,388600
2019-05-22,88.459999,88.599998,88.250000,88.339996,84.270248,9300
2019-05-23,87.010002,87.360001,86.629997,87.110001,83.096947,54200
2019-05-24,87.570000,87.570000,87.080002,87.279999,83.259102,48400
2019-05-28,87.260002,87.400002,86.529999,86.529999,82.543648,1800
2019-05-29,85.680000,85.970001,85.430000,85.900002,81.942673,37600
2019-05-30,86.419998,86.419998,85.690002,86.000000,82.038063,3500
2019-05-31,85.139999,85.419998,85.010002,85.029999,81.112755,70000
2019-06-03,85.750000,85.750000,85.000000,85.379997,81.446617,15900
2019-06-04,86.220001,87.449997,86.190002,87.449997,83.421257,42800
2019-06-05,87.769997,88.089996,87.160004,88.089996,84.031776,5300
2019-06-06,88.150002,88.489998,87.870003,88.410004,84.337044,5600
2019-06-07,89.080002,89.250000,89.080002,89.080002,84.976181,3800
2019-06-10,89.629997,90.000000,89.470001,89.480003,85.357750,249300
2019-06-11,90.010002,90.040001,89.220001,89.349998,85.233734,19400
2019-06-12,89.089996,89.279999,89.089996,89.180000,85.071564,8300
2019-06-13,89.709999,89.830002,89.480003,89.709999,85.577141,37100
2019-06-14,89.699997,89.699997,89.260002,89.430000,85.310059,7000
2019-06-17,89.019997,89.230003,88.959999,88.959999,85.265961,6900
2019-06-18,89.459999,90.250000,89.459999,89.900002,86.166939,10600
2019-06-19,89.989998,90.389999,89.830002,90.290001,86.540726,17700
2019-06-20,91.180000,91.260002,90.379997,91.129997,87.345833,6000
2019-06-21,90.900002,90.900002,90.820000,90.820000,87.048737,4300
2019-06-24,90.750000,90.750000,90.290001,90.309998,86.559883,5400
2019-06-25,90.160004,90.199997,89.639999,89.639999,85.917725,11100
2019-06-26,89.900002,89.900002,89.540001,89.540001,85.821877,5200
2019-06-27,89.900002,90.190002,89.849998,90.190002,86.444878,15500
2019-06-28,90.459999,91.070000,90.449997,91.000000,87.221230,10000
2019-07-01,92.099998,92.099998,91.250000,91.570000,87.767570,25800
2019-07-02,91.360001,91.510002,91.290001,91.510002,87.710083,6700
2019-07-03,92.089996,92.379997,92.089996,92.379997,88.543945,7300
2019-07-05,91.949997,92.300003,91.570000,92.260002,88.428940,6100
2019-07-08,91.980003,91.980003,91.519997,91.709999,87.901772,14200
2019-07-09,91.330002,91.889999,91.300003,91.860001,88.045525,72000
2019-07-10,92.330002,92.330002,91.860001,91.919998,88.103058,25800
2019-07-11,91.760002,92.029999,91.760002,92.029999,88.208488,2400
2019-07-12,92.220001,92.769997,92.220001,92.760002,88.908173,25300
2019-07-15,92.809998,92.809998,92.449997,92.629997,88.783569,8000
2019-07-16,92.699997,92.839996,92.480003,92.480003,88.639793,10500
2019-07-17,92.180000,92.230003,91.830002,91.830002,88.016785,2800
2019-07-18,91.629997,92.129997,91.620003,92.129997,88.304321,2800
2019-07-19,92.300003,92.320000,91.760002,91.760002,87.949677,6500
2019-07-22,91.980003,91.980003,91.660004,91.760002,87.949677,22400
2019-07-23,92.019997,92.540001,91.989998,92.540001,88.697311,7300
2019-07-24,92.800003,93.290001,92.720001,93.230003,89.358650,19500
2019-07-25,93.110001,93.110001,92.589996,92.589996,88.745239,3300
2019-07-26,92.739998,93.190002,92.709999,93.150002,89.281975,3900
